churn,accountlength,internationalplan,voicemailplan,numbervmailmessages,total_dayminutos,total_daycalls,total_daycharge,total_eveminutos,total_evecalls,total_evecharge,total_nightminutos,total_nightcalls,total_nightcharge,total_intlminutos,total_intlcalls,total_intlcharge,numbercustomerservicecalls,accountlength_log,numbervmailmessages_log,total_dayminutos_log,total_daycalls_log,total_daycharge_log,total_eveminutos_log,total_evecalls_log,total_evecharge_log,total_nightminutos_log,total_nightcalls_log,total_nightcharge_log,total_intlminutos_log,total_intlcalls_log,total_intlcharge_log,numbercustomerservicecalls_log
No,128.0,no,yes,25.0,265.1,110.0,45.07,197.4,99.0,16.78,244.7,91.0,11.01,10.0,3.0,2.7,1.0,4.859812404361672,3.258096538021482,5.583872177983643,4.709530201312334,3.8301619789478254,5.290285194850773,4.605170185988092,2.8780742300857587,5.504111279527133,4.5217885770490405,2.485739636091892,2.3978952727983707,1.3862943611198906,1.308332819650179,0.6931471805599453
No,107.0,no,yes,26.0,161.6,123.0,27.47,195.5,103.0,16.62,254.4,103.0,11.45,13.7,3.0,3.7,1.0,4.68213122712422,3.295836866004329,5.0912931971137105,4.820281565605037,3.3488509012899463,5.280662431309316,4.6443908991413725,2.8690346205080335,5.542830943598439,4.6443908991413725,2.5217206229107165,2.6878474937846906,1.3862943611198906,1.547562508716013,0.6931471805599453
No,137.0,no,no,0.0,243.4,114.0,41.38,121.2,110.0,10.3,162.6,104.0,7.32,12.2,5.0,3.29,0.0,4.927253685157205,0.0,5.4988062272974405,4.74493212836325,3.746676552840153,4.805659046737495,4.709530201312334,2.424802725718295,5.097424424168647,4.653960350157523,2.1186622548331173,2.580216829592325,1.791759469228055,1.4562867329399256,0.0
No,84.0,yes,no,0.0,299.4,71.0,50.9,61.9,88.0,5.26,196.9,89.0,8.86,6.6,7.0,1.78,2.0,4.442651256490317,0.0,5.705114919889979,4.276666119016055,3.949318790171843,4.141546163706395,4.48863636973214,1.8341801851120072,5.28776185260852,4.499809670330265,2.288486168614544,2.028148247292285,2.0794415416798357,1.0224509277025458,1.0986122886681096
No,75.0,yes,no,0.0,166.7,113.0,28.34,148.3,122.0,12.61,186.9,121.0,8.41,10.1,3.0,2.73,3.0,4.330733340286331,0.0,5.122176668829163,4.736198448394496,3.3789517727148355,5.005957704545144,4.812184355372417,2.6108048166633746,5.23590990641942,4.804021044733257,2.2417729535972883,2.4069451083182885,1.3862943611198906,1.3164082336557241,1.3862943611198906
No,118.0,yes,no,0.0,223.4,98.0,37.98,220.6,101.0,18.75,203.9,118.0,9.18,6.3,6.0,1.7,0.0,4.77912349311153,0.0,5.413430173648541,4.59511985013459,3.6630486940794147,5.400873954873129,4.624972813284271,2.9831534913471307,5.322522055244854,4.77912349311153,2.3204250111223765,1.9878743481543455,1.9459101490553132,0.9932517730102834,0.0
No,121.0,no,yes,24.0,218.2,88.0,37.09,348.5,108.0,29.62,212.6,118.0,9.57,7.5,7.0,2.03,3.0,4.804021044733257,3.2188758248682006,5.389984555073861,4.48863636973214,3.6399517804905126,5.856503561673865,4.6913478822291435,3.4216533902295376,5.36410510708604,4.77912349311153,2.3580197998821464,2.1400661634962708,2.0794415416798357,1.1085626195212777,1.3862943611198906
No,147.0,yes,no,0.0,157.0,79.0,26.69,103.1,94.0,8.76,211.8,96.0,9.53,7.1,6.0,1.92,0.0,4.997212273764115,0.0,5.062595033026967,4.382026634673881,3.3210713371828704,4.645351975620923,4.553876891600541,2.278292400425001,5.360352757467489,4.574710978503383,2.354228326145884,2.0918640616783932,1.9459101490553132,1.0715836162801904,0.0
No,117.0,no,no,0.0,184.5,97.0,31.37,200.86980968,80.0,17.074150965999998,215.8,90.0,9.71,8.7,4.0,2.35,1.0,4.770684624465665,0.0,5.22305488204749,4.584967478670572,3.477232067938153,5.86533426996377,4.394449154672439,3.43043250693049,5.378975269565491,4.51085950651685,2.3711778844596574,2.272125885509337,1.6094379124341003,1.208960345836975,0.6931471805599453
No,141.0,yes,yes,37.0,258.6,84.0,43.96,222.0,111.0,18.87,326.4,97.0,14.69,11.2,5.0,3.02,0.0,4.955827057601261,3.6375861597263857,5.559141984829935,4.442651256490317,3.8057732055854356,5.407171771460119,4.718498871295094,2.9892110565637253,5.791182664937034,4.584967478670572,2.753023566744941,2.501435951739211,1.791759469228055,1.3912819026309298,0.0
Yes,65.0,no,no,0.0,129.1,137.0,21.95,228.5,83.0,19.42,208.8,111.0,9.4,12.7,6.0,3.43,4.0,4.189654742026425,0.0,4.86830338551846,4.927253685157205,3.133317936506554,5.4359030295006,4.430816798843313,3.01651481273652,5.346154695962197,4.718498871295094,2.341805806147327,2.617395832834079,1.9459101490553132,1.4883995840570443,1.6094379124341003
No,74.0,no,no,0.0,187.7,127.0,31.91,163.4,148.0,13.89,196.0,94.0,8.82,9.1,5.0,2.46,0.0,4.31748811353631,0.0,5.240158452374504,4.852030263919617,3.4937765629552486,5.10230248262208,5.003946305945459,2.7006898466959175,5.2832037287379885,4.553876891600541,2.2844211223663744,2.312535423847214,1.791759469228055,1.2412685890696329,0.0
No,168.0,no,no,0.0,128.8,96.0,21.9,104.9,71.0,8.92,141.1,128.0,6.35,11.2,2.0,3.02,1.0,5.1298987149230735,0.0,4.86599480426999,4.574710978503383,3.131136910560194,4.662495252607361,4.276666119016055,2.2945529212967815,4.956531035103055,4.859812404361672,1.9947003132247452,2.501435951739211,1.0986122886681096,1.3912819026309298,0.6931471805599453
No,95.0,no,no,0.0,156.6,88.0,26.62,247.6,75.0,21.05,192.3,115.0,8.65,12.3,5.0,3.32,3.0,4.564348191467836,0.0,5.060060177423779,4.48863636973214,3.318540147981146,5.515845179076611,4.330733340286331,3.093312601892855,5.264243386214285,4.7535901911063645,2.2669579153508947,2.5877640352277083,1.791759469228055,1.463255402256019,1.3862943611198906
No,62.0,no,no,0.0,120.7,70.0,20.52,307.2,76.0,26.11,203.0,99.0,9.14,13.1,6.0,3.54,4.0,4.143134726391533,0.0,4.801558999993482,4.2626798770413155,3.0689827352935835,5.730748922886015,4.343805421853684,3.299902663510574,5.318119993844216,4.605170185988092,2.316487998163037,2.6461747973841225,1.9459101490553132,1.5129270120532565,1.6094379124341003
Yes,161.0,no,no,0.0,332.9,67.0,56.59,317.8,97.0,27.01,160.6,128.0,7.23,5.4,9.0,1.46,4.0,5.087596335232384,0.0,5.810841546949609,4.219507705176107,4.053348941518581,5.76456394691606,4.584967478670572,3.332561589272017,5.085124146086995,4.859812404361672,2.1077860146889784,1.8562979903656263,2.302585092994046,0.9001613499442714,1.6094379124341003
No,85.0,no,yes,27.0,196.4,139.0,33.39,280.9,90.0,23.88,89.3,75.0,4.02,13.8,4.0,3.73,1.0,4.454347296253507,3.332204510175204,5.285232126999381,4.941642422609304,3.537765824444175,5.641552398120067,4.51085950651685,3.2140642678709788,4.5031374604229395,4.330733340286331,1.6134299337036377,2.6946271807700692,1.6094379124341003,1.5539252025038417,0.6931471805599453
No,93.0,no,no,0.0,190.7,114.0,32.42,218.2,111.0,18.55,129.6,121.0,5.83,8.1,3.0,2.19,3.0,4.543294782270004,0.0,5.255931650051599,4.74493212836325,3.509154523167248,5.389984555073861,4.718498871295094,2.972975286431375,4.8721392168423305,4.804021044733257,1.9213246735826988,2.2082744135228043,1.3862943611198906,1.1600209167967532,1.3862943611198906
No,76.0,no,yes,33.0,189.7,66.0,32.25,212.8,65.0,18.09,165.7,108.0,7.46,10.0,5.0,2.7,1.0,4.343805421853684,3.5263605246161616,5.250701512606374,4.204692619390966,3.504054767101863,5.365040998590945,4.189654742026425,2.949164637737656,5.116195789756748,4.6913478822291435,2.135349173618132,2.3978952727983707,1.791759469228055,1.308332819650179,0.6931471805599453
No,73.0,no,no,0.0,224.4,90.0,38.15,159.5,88.0,13.56,192.8,74.0,8.68,13.0,2.0,3.51,1.0,4.304065093204169,0.0,5.417876601605676,4.51085950651685,3.667400422436812,5.07829394257007,4.48863636973214,2.67827804276854,5.266826699456666,4.31748811353631,2.2700619012884857,2.639057329615259,1.0986122886681096,1.5062971535145868,0.6931471805599453
No,147.0,no,no,0.0,155.1,117.0,26.37,239.7,93.0,20.37,208.8,133.0,9.4,10.6,4.0,2.86,0.0,4.997212273764115,0.0,5.050496827521386,4.770684624465665,3.309447523052588,5.483551344789026,4.543294782270004,3.0619880693310564,5.346154695962197,4.897839799950911,2.341805806147327,2.451005098112319,1.6094379124341003,1.3506671834767394,0.0
Yes,77.0,no,no,0.0,62.4,89.0,10.61,169.9,121.0,14.44,209.6,64.0,9.43,5.7,6.0,1.54,5.0,4.356708826689592,0.0,4.14946386144318,4.499809670330265,2.4518667957098,5.141078590121545,4.804021044733257,2.73696154459663,5.349960599699875,4.174387269895637,2.344686269012681,1.9021075263969205,1.9459101490553132,0.9321640810304452,1.791759469228055
No,130.0,no,no,0.0,183.0,112.0,31.11,72.9,99.0,6.2,181.8,78.0,8.18,9.5,4.4352,2.57,0.0,4.875197323201151,0.0,5.214935757608986,4.727387818712341,3.4691675081014224,4.302712827954156,4.605170185988092,1.9740810260220096,5.20839265902005,4.3694478524670215,2.217027204632399,2.3513752571634776,2.995732273553991,1.2725655957915476,0.0
