cancelacion,longitud_cuenta,plan_internacional,plan_buzon,mensajes_buzon,total_minutos_dia,total_llamadas_dia,total_costo_dia,total_minutos_tarde,total_llamadas_tarde,total_costo_tarde,total_minutos_noche,total_llamadas_noche,total_costo_noche,total_minutos_internacionales,total_llamadas_internacionales,total_costo_internacional,llamadas_servicio_cliente,total_minutos_dia_log,total_llamadas_dia_log,total_costo_dia_log,total_minutos_noche_log,total_llamadas_noche_log,total_costo_noche_log,total_minutos_internacionales_log,total_llamadas_internacionales_log,total_costo_internacional_log
No,128,no,yes,25,0.7986671343388285,0.5961538461538461,0.7986383329894781,197.4,99,16.78,0.6655198776758409,0.41346153846153844,0.665250637213254,0.4779411764705881,0.375,0.4768392370572208,1,5.583872177983643,4.709530201312334,3.8301619789478254,5.504111279527133,4.5217885770490405,2.485739636091892,2.3978952727983707,1.3862943611198906,1.308332819650179
No,107,no,yes,26,0.43563661873027004,0.7211538461538461,0.43552713018361877,195.5,103,16.62,0.7025993883792049,0.5288461538461539,0.7026338147833474,0.7499999999999998,0.375,0.7493188010899186,1,5.0912931971137105,4.820281565605037,3.3488509012899463,5.542830943598439,4.6443908991413725,2.5217206229107165,2.6878474937846906,1.3862943611198906,1.547562508716013
No,137,no,no,0,0.7225534900035075,0.6346153846153847,0.7225087683102951,121.2,110,10.3,0.35168195718654427,0.5384615384615384,0.35174171622769757,0.639705882352941,0.625,0.6376021798365124,0,5.4988062272974405,4.74493212836325,3.746676552840153,5.097424424168647,4.653960350157523,2.1186622548331173,2.580216829592325,1.791759469228055,1.4562867329399256
No,84,yes,no,0,0.918975797965626,0.22115384615384615,0.9189189189189189,61.9,88,5.26,0.48279816513761464,0.3942307692307693,0.48258283772302457,0.22794117647058815,0.875,0.22615803814713903,2,5.705114919889979,4.276666119016055,3.949318790171843,5.28776185260852,4.499809670330265,2.288486168614544,2.028148247292285,2.0794415416798357,1.0224509277025458
No,75,yes,no,0,0.4535250789196773,0.6250000000000001,0.45347637714049926,148.3,122,12.61,0.4445718654434251,0.701923076923077,0.4443500424808836,0.48529411764705865,0.375,0.48501362397820175,3,5.122176668829163,4.736198448394496,3.3789517727148355,5.23590990641942,4.804021044733257,2.2417729535972883,2.4069451083182885,1.3862943611198906,1.3164082336557241
No,118,yes,no,0,0.6524026657313223,0.48076923076923084,0.6523622859500722,220.6,101,18.75,0.5095565749235473,0.673076923076923,0.5097706032285471,0.2058823529411764,0.75,0.20435967302452318,0,5.413430173648541,4.59511985013459,3.6630486940794147,5.322522055244854,4.77912349311153,2.3204250111223765,1.9878743481543455,1.9459101490553132,0.9932517730102834
No,121,no,yes,24,0.6341634514205541,0.3846153846153847,0.634000412626367,348.5,108,29.62,0.5428134556574923,0.673076923076923,0.5429056924384027,0.2941176470588235,0.875,0.2942779291553133,3,5.389984555073861,4.48863636973214,3.6399517804905126,5.36410510708604,4.77912349311153,2.3580197998821464,2.1400661634962708,2.0794415416798357,1.1085626195212777
No,147,yes,no,0,0.4195019291476675,0.29807692307692313,0.41943470187745,103.1,94,8.76,0.5397553516819572,0.46153846153846156,0.5395072217502124,0.2647058823529411,0.75,0.2643051771117167,0,5.062595033026967,4.382026634673881,3.3210713371828704,5.360352757467489,4.574710978503383,2.354228326145884,2.0918640616783932,1.9459101490553132,1.0715836162801904
No,117,no,no,0,0.5159593125219221,0.47115384615384615,0.5159892717144626,351.6,80,29.89,0.555045871559633,0.40384615384615385,0.5548003398470689,0.38235294117647045,0.5,0.3814713896457767,1,5.22305488204749,4.584967478670572,3.477232067938153,5.378975269565491,4.51085950651685,2.3711778844596574,2.272125885509337,1.6094379124341003,1.208960345836975
No,141,yes,yes,37,0.7758681164503684,0.34615384615384615,0.7757375696306995,222.0,111,18.87,0.9778287461773699,0.47115384615384615,0.9779099405267629,0.5661764705882352,0.625,0.5640326975476839,0,5.559141984829935,4.442651256490317,3.8057732055854356,5.791182664937034,4.584967478670572,2.753023566744941,2.501435951739211,1.791759469228055,1.3912819026309298
Yes,65,no,no,0,0.3216415292879691,0.8557692307692307,0.32164225293996285,228.5,83,19.42,0.5282874617737003,0.6057692307692307,0.5284621920135939,0.6764705882352939,0.75,0.6757493188010901,4,4.86830338551846,4.927253685157205,3.133317936506554,5.346154695962197,4.718498871295094,2.341805806147327,2.617395832834079,1.9459101490553132,1.4883995840570443
No,74,no,no,0,0.5271834444054717,0.7596153846153847,0.5271301836187333,163.4,148,13.89,0.47935779816513757,0.4423076923076923,0.47918436703483436,0.4117647058823528,0.625,0.4114441416893733,0,5.240158452374504,4.852030263919617,3.4937765629552486,5.2832037287379885,4.553876891600541,2.2844211223663744,2.312535423847214,1.791759469228055,1.2412685890696329
No,168,no,no,0,0.32058926692388634,0.46153846153846156,0.32061068702290074,104.9,71,8.92,0.26949541284403666,0.7692307692307693,0.2693288020390824,0.5661764705882352,0.25,0.5640326975476839,1,4.86599480426999,4.574710978503383,3.131136910560194,4.956531035103055,4.859812404361672,1.9947003132247452,2.501435951739211,1.0986122886681096,1.3912819026309298
No,95,no,no,0,0.41809891266222377,0.3846153846153847,0.4179905095935631,247.6,75,21.05,0.4652140672782874,0.6442307692307693,0.46474086661002545,0.6470588235294117,0.625,0.6457765667574933,3,5.060060177423779,4.48863636973214,3.318540147981146,5.264243386214285,4.7535901911063645,2.2669579153508947,2.5877640352277083,1.791759469228055,1.463255402256019
No,62,no,no,0,0.2921781830936513,0.21153846153846156,0.29213946771198684,307.2,76,26.11,0.5061162079510703,0.4903846153846154,0.5063721325403568,0.7058823529411763,0.75,0.7057220708446867,4,4.801558999993482,4.2626798770413155,3.0689827352935835,5.318119993844216,4.605170185988092,2.316487998163037,2.6461747973841225,1.9459101490553132,1.5129270120532565
Yes,161,no,no,0,0.5005261311820414,0.1826923076923077,0.5005157829585312,317.8,97,27.01,0.34403669724770636,0.7692307692307693,0.3440951571792693,0.13970588235294118,0.5,0.1389645776566758,4,5.810841546949609,4.219507705176107,4.053348941518581,5.085124146086995,4.859812404361672,2.1077860146889784,1.8562979903656263,2.302585092994046,0.9001613499442714
No,85,no,yes,27,0.5576990529638723,0.8750000000000001,0.5576645347637714,280.9,90,23.88,0.07148318042813456,0.2596153846153846,0.07136788445199654,0.7573529411764706,0.5,0.7574931880108993,1,5.285232126999381,4.941642422609304,3.537765824444175,4.5031374604229395,4.330733340286331,1.6134299337036377,2.6946271807700692,1.6094379124341003,1.5539252025038417
No,93,no,no,0,0.5377060680462995,0.6346153846153847,0.5376521559727667,218.2,111,18.55,0.22553516819571862,0.701923076923077,0.22514868309260833,0.33823529411764697,0.375,0.337874659400545,3,5.255931650051599,4.74493212836325,3.509154523167248,4.8721392168423305,4.804021044733257,1.9213246735826988,2.2082744135228043,1.3862943611198906,1.1600209167967532
No,76,no,yes,33,0.5341985268326902,0.17307692307692313,0.5341448318547556,212.8,65,18.09,0.363532110091743,0.576923076923077,0.36363636363636365,0.4779411764705881,0.625,0.4768392370572208,1,5.250701512606374,4.204692619390966,3.504054767101863,5.116195789756748,4.6913478822291435,2.135349173618132,2.3978952727983707,1.791759469228055,1.308332819650179
No,73,no,no,0,0.6559102069449316,0.40384615384615385,0.6558696100680834,159.5,88,13.56,0.46712538226299694,0.25,0.46728971962616817,0.6985294117647057,0.25,0.6975476839237058,1,5.417876601605676,4.51085950651685,3.667400422436812,5.266826699456666,4.31748811353631,2.2700619012884857,2.639057329615259,1.0986122886681096,1.5062971535145868
No,147,no,no,0,0.41283760084180987,0.6634615384615384,0.4128326800082526,239.7,93,20.37,0.5282874617737003,0.8173076923076924,0.5284621920135939,0.5220588235294117,0.5,0.5204359673024523,0,5.050496827521386,4.770684624465665,3.309447523052588,5.346154695962197,4.897839799950911,2.341805806147327,2.451005098112319,1.6094379124341003,1.3506671834767394
Yes,77,no,no,0,0.0876885303402315,0.3942307692307693,0.08768310295027851,169.9,121,14.44,0.5313455657492354,0.15384615384615385,0.5310110450297366,0.16176470588235292,0.75,0.1607629427792916,5,4.14946386144318,4.499809670330265,2.4518667957098,5.349960599699875,4.174387269895637,2.344686269012681,1.9021075263969205,1.9459101490553132,0.9321640810304452
No,130,no,no,0,0.5106980007015083,0.6153846153846155,0.5106251289457396,72.9,99,6.2,0.4250764525993884,0.28846153846153844,0.42480883602378927,0.44117647058823517,0.5,0.44141689373297005,0,5.214935757608986,4.727387818712341,3.4691675081014224,5.20839265902005,4.3694478524670215,2.217027204632399,2.3513752571634776,2.995732273553991,1.2725655957915476
No,111,no,no,0,0.256050508593476,0.5288461538461539,0.2560346606148133,137.3,102,11.67,0.4548929663608562,0.548076923076923,0.4545454545454545,0.3088235294117646,0.75,0.3079019073569483,2,4.713127327493184,4.6443908991413725,2.9841656371825254,5.250176991220101,4.663439094112067,2.254444717666111,2.1633230256605382,1.9459101490553132,1.1249295969854831
No,132,no,no,0,0.15327955103472465,0.3653846153846154,0.15329069527542807,245.2,72,20.84,0.6360856269113149,0.6442307692307693,0.6363636363636364,0.5,0.25,0.4986376021798365,0,4.407938016458383,4.465908118654584,2.6939512767227085,5.472270673671475,4.7535901911063645,2.4570214462984645,2.424802725718295,1.0986122886681096,1.3297240096314962
No,174,no,no,0,0.30480533146264466,0.2692307692307693,0.30472457190014446,277.1,112,23.55,0.6884556574923546,0.6442307692307693,0.6881903143585386,0.8823529411764703,0.625,0.8828337874659404,3,4.8307108619020225,4.343805421853684,3.096934154062958,5.52823790214127,4.7535901911063645,2.5079719227189963,2.803360380906535,1.791759469228055,1.6467336971777973
No,57,no,yes,39,0.615924237109786,0.6442307692307693,0.6158448524860739,191.1,112,16.24,0.4285168195718654,0.6442307692307693,0.4282073067119796,0.44117647058823517,0.375,0.44141689373297005,0,5.365976015021851,4.7535901911063645,3.6165775423585313,5.21330399222108,4.7535901911063645,2.2213750375685026,2.3513752571634776,1.3862943611198906,1.2725655957915476
No,54,no,no,0,0.3398807435987373,0.24038461538461542,0.3397978130802558,155.5,100,13.22,0.12041284403669722,0.1923076923076923,0.11979609175870853,0.8235294117647056,0.5,0.8228882833787468,3,4.907494535176743,4.304065093204169,3.170945291110651,4.635699391022914,4.23410650459726,1.7209792871670078,2.7536607123542622,1.6094379124341003,1.6034198401085373
No,20,no,no,0,0.535250789196773,0.5865384615384616,0.5351763977718176,258.2,84,21.95,0.42392966360856266,0.5192307692307693,0.42395921835174166,0.2058823529411764,0.75,0.20435967302452318,0,5.25227342804663,4.700480365792417,3.505557396986398,5.206750173022546,4.634728988229636,2.2159372862683733,1.9878743481543455,1.9459101490553132,0.9932517730102834
No,49,no,no,0,0.2872676253945984,0.6634615384615384,0.2871879513100888,215.1,109,18.28,0.41322629969418956,0.40384615384615385,0.4129141886151231,0.5588235294117646,0.125,0.5585831062670301,1,4.789988622980633,4.770684624465665,3.0577676644734435,5.191288793789513,4.51085950651685,2.201659174404085,2.4932054526026954,0.6931471805599453,1.3862943611198906
No,142,no,no,0,0.1662574535250789,0.451923076923077,0.16628842583041056,136.7,63,11.62,0.6876911314984708,0.9615384615384616,0.687340696686491,0.7867647058823528,0.75,0.7847411444141692,2,4.4520190064939165,4.564348191467836,2.7356653681351832,5.527442989539794,5.003946305945459,2.50715725872282,2.7212954278522306,1.9459101490553132,1.5748464676644813
